t_s,F_N,p_kPa,thickness_um,T_degC,V_V,I_A,soc,seg_type
29.0,350.2173219310226,25.954107180075745,4970.031678654628,25.0,3.58,-0.0,0.2,rest
30.0,352.117838755051,26.09530287074452,4969.94939060951,25.0,3.58,-0.0,0.2,rest
31.0,348.8879792373077,25.85647068424501,4969.979673085826,25.0,3.58,-0.0,0.2,rest
32.0,349.622394992873,25.91128851799059,4970.008207749657,25.0,3.58,-0.0,0.2,rest
33.0,352.04277160749234,26.09099234129573,4969.863628236896,25.0,3.58,-0.0,0.2,rest
34.0,350.64670299620184,25.98799651823717,4970.068015440162,25.0,3.58,-0.0,0.2,rest
35.0,350.66306337237626,25.989625064620466,4969.989100656301,25.0,3.58,-0.0,0.2,rest
36.0,349.48599362831254,25.902851379875003,4969.982985046748,25.0,3.58,-0.0,0.2,rest
37.0,348.3519248291444,25.81926295030699,4969.942693165831,25.0,3.58,-0.0,0.2,rest
38.0,350.16746474422274,25.954164055127613,4969.986718225072,25.0,3.58,-0.0,0.2,rest
39.0,350.10901408782155,25.95025104354233,4969.923285825489,25.0,3.58,-0.0,0.2,rest
40.0,348.7726479457554,25.851677625611508,4969.941805890129,25.0,3.58,-0.0,0.2,rest
41.0,349.31677333821943,25.89239987690514,4969.959516001377,25.0,3.58,-0.0,0.2,rest
42.0,349.9279563202728,25.93808935705724,4969.995980923082,25.0,3.58,-0.0,0.2,rest
43.0,349.05524837693923,25.873860990884392,4969.992778425005,25.0,3.58,-0.0,0.2,rest
44.0,349.9017300321478,25.93698000238132,4969.959996432564,25.0,3.58,-0.0,0.2,rest
45.0,350.09548302746947,25.951748742775514,4969.968980071713,25.0,3.58,-0.0,0.2,rest
46.0,350.0355862370555,25.94772861015226,4970.025921955658,25.0,3.58,-0.0,0.2,rest
47.0,349.4937083416857,25.9080061734582,4969.9570156965065,25.0,3.58,-0.0,0.2,rest
48.0,350.5937480717858,25.98990726457673,4970.073296166667,25.0,3.58,-0.0,0.2,rest
49.0,350.8911669542823,26.01235495957647,4970.028733893297,25.0,3.58,-0.0,0.2,rest
50.0,350.32084830456654,25.97052580033826,4969.962026481785,25.0,3.58,-0.0,0.2,rest
51.0,349.1817697726097,25.88656627945257,4969.92591474368,25.0,3.58,-0.0,0.2,rest
52.0,350.7316522837854,26.001789058058183,4970.001296100149,25.0,3.58,-0.0,0.2,rest
53.0,349.49855998153294,25.910865554187627,4970.049209563281,25.0,3.58,-0.0,0.2,rest
54.0,350.879160618288,26.013548934688,4970.002212734254,25.0,3.58,-0.0,0.2,rest
55.0,348.92821258312256,25.86945093208315,4970.000531572006,25.0,3.58,-0.0,0.2,rest
56.0,350.9144672031288,26.01699757060213,4969.919128909416,25.0,3.58,-0.0,0.2,rest
57.0,349.97993654538453,25.94818974410256,4970.037205812803,25.0,3.58,-0.0,0.2,rest
58.0,348.7512511096656,25.857592674790045,4969.938941049001,25.0,3.58,-0.0,0.2,rest
59.0,349.68610052803314,25.92725744652097,4970.075580049847,25.0,3.58,-0.0,0.2,rest
60.0,350.05410227877155,25.954933502131222,4969.998235354188,25.0,3.58,-0.0,0.2,rest
61.0,350.2727913391644,25.971549358456624,4970.079866613405,25.0,3.58,-0.0,0.2,rest
62.0,349.017811875059,25.879004583337707,4970.030697762641,25.0,3.58,-0.0,0.2,rest
63.0,348.8926269528348,25.870148292802583,4969.895104290308,25.0,3.58,-0.0,0.2,rest
64.0,350.1995845328471,25.967376632062752,4969.99146394785,25.0,3.58,-0.0,0.2,rest
65.0,349.5332503831202,25.91843521356446,4970.02679454227,25.0,3.58,-0.0,0.2,rest
66.0,350.2355056117302,25.97087078605409,4970.069375314054,25.0,3.58,-0.0,0.2,rest
67.0,350.7595195224784,26.01010329796136,4969.989272698038,25.0,3.58,-0.0,0.2,rest
68.0,348.351212633649,25.832126861751775,4970.022466833611,25.0,3.58,-0.0,0.2,rest
69.0,350.2543881165176,25.973519490112416,4969.909956639332,25.0,3.58,-0.0,0.2,rest
70.0,351.2246469675357,26.045807182780425,4970.006491051028,25.0,3.58,-0.0,0.2,rest
71.0,349.70247315562955,25.933470233750334,4969.9859509649705,25.0,3.58,-0.0,0.2,rest
72.0,349.1891854167624,25.895865586426847,4970.028172083766,25.0,3.58,-0.0,0.2,rest
73.0,350.7522438271796,26.01206435756886,4969.992108343806,25.0,3.58,-0.0,0.2,rest
74.0,350.25344651620816,25.97553307527468,4969.984852798259,25.0,3.58,-0.0,0.2,rest
75.0,350.8958830707776,26.02353763487241,4969.990194128187,25.0,3.58,-0.0,0.2,rest
76.0,349.65478428994874,25.93202105851472,4970.029490816425,25.0,3.58,-0.0,0.2,rest
77.0,348.5181817262778,25.848244942687245,4970.070437763053,25.0,3.58,-0.0,0.2,rest
78.0,349.88998923528874,25.95027698039176,4970.043793971528,25.0,3.58,-0.0,0.2,rest
79.0,349.5541718469888,25.92581828496213,4970.054487146312,25.0,3.58,-0.0,0.2,rest
80.0,350.7753238220476,26.016690653485007,4969.946340960006,25.0,3.58,-0.0,0.2,rest
81.0,350.19363284837715,25.97401909987979,4969.924797172009,25.0,3.58,-0.0,0.2,rest
82.0,348.3691507675649,25.839288945745547,4969.941534999517,25.0,3.58,-0.0,0.2,rest
83.0,348.8048369198968,25.87197866073309,4969.942698983517,25.0,3.58,-0.0,0.2,rest
84.0,350.88378903658725,26.026391780487945,4970.025039703782,25.0,3.58,-0.0,0.2,rest
85.0,350.6797650174178,26.01169555684577,4969.991147048629,25.0,3.58,-0.0,0.2,rest
86.0,349.3597566340915,25.91433382474752,4969.983036681963,25.0,3.58,-0.0,0.2,rest
87.0,349.99895120343274,25.96209823729131,4970.114663791875,25.0,3.58,-0.0,0.2,rest
88.0,350.44557355377617,25.99559804102045,4969.983992204768,25.0,3.58,-0.0,0.2,rest
89.0,350.46840433584725,25.997705876729427,4970.044157640547,25.0,3.58,-0.0,0.2,rest
90.0,350.87624219611433,26.02833275526773,4970.001182951419,25.0,3.58,-0.0,0.2,rest
91.0,350.25648562722154,25.982841527942337,4969.942257152398,25.0,3.58,-0.0,0.2,rest
92.0,349.9051716610315,25.957234937854185,4969.911813049081,25.0,3.58,-0.0,0.2,rest
93.0,349.74115193521214,25.9455019952009,4969.967534135224,25.0,3.58,-0.0,0.2,rest
94.0,351.05574280053327,26.04329576300246,4970.019899998021,25.0,3.58,-0.0,0.2,rest
95.0,347.74914572492145,25.798779312957144,4970.025765623429,25.0,3.58,-0.0,0.2,rest
96.0,349.86134467490865,25.955655161104342,4970.063967307165,25.0,3.58,-0.0,0.2,rest
97.0,350.0330001039841,25.96878704473956,4970.026264743262,25.0,3.58,-0.0,0.2,rest
98.0,348.57465103912983,25.861177854750355,4970.094914571851,25.0,3.58,-0.0,0.2,rest
99.0,350.33281361313806,25.991828786158376,4969.963007946423,25.0,3.58,-0.0,0.2,rest
100.0,349.3487189875566,25.919349554633826,4969.963552267381,25.0,3.58,-0.0,0.2,rest
101.0,350.86244479631574,26.03189405898635,4970.04029793628,25.0,3.58,-0.0,0.2,rest
102.0,349.87440791596566,25.959122808590053,4969.992142237831,25.0,3.58,-0.0,0.2,rest
103.0,350.66915324078946,26.018409499317737,4970.05516702237,25.0,3.58,-0.0,0.2,rest
104.0,351.21884360517123,26.059543970753424,4970.082718296403,25.0,3.58,-0.0,0.2,rest
105.0,350.3829295827135,25.998041080200995,4970.019734144424,25.0,3.58,-0.0,0.2,rest
106.0,349.1242788565772,25.90522435974645,4969.982932068841,25.0,3.58,-0.0,0.2,rest
107.0,348.4856813682954,25.85833750876262,4969.872796732407,25.0,3.58,-0.0,0.2,rest
108.0,351.7533841175164,26.100806230927137,4969.987350429938,25.0,3.58,-0.0,0.2,rest
109.0,349.8887078068125,25.963098726430555,4970.015734445863,25.0,3.58,-0.0,0.2,rest
110.0,349.31143505236565,25.920754448323382,4969.931598707638,25.0,3.58,-0.0,0.2,rest
111.0,350.14425708806084,25.982861636152656,4970.022954472459,25.0,3.58,-0.0,0.2,rest
112.0,349.8085886695173,25.958413975519804,4970.0138301982,25.0,3.58,-0.0,0.2,rest
113.0,350.85214226421266,26.0361309084602,4970.010516172074,25.0,3.58,-0.0,0.2,rest
114.0,350.0339281824371,25.97593912462497,4970.049104354557,25.0,3.58,-0.0,0.2,rest
115.0,350.0137495836184,25.974861080268028,4970.080359162029,25.0,3.58,-0.0,0.2,rest
116.0,349.285420278967,25.921327428071628,4969.948183549071,25.0,3.58,-0.0,0.2,rest
117.0,350.4695680987475,26.00945874805537,4969.993223501269,25.0,3.58,-0.0,0.2,rest
118.0,348.96613327764504,25.898509872418156,4970.017845192105,25.0,3.58,-0.0,0.2,rest
119.0,350.665889439764,26.02483440294548,4970.0821747539,25.0,3.58,-0.0,0.2,rest
120.0,351.52393751299013,25.588810186147416,4970.005850635591,25.0,3.598,-5.0,0.2,charge
121.0,348.6142028507897,25.37369095191035,4970.062540262226,25.0,3.59825,-5.0,0.2002777777777777,charge
122.0,347.81154854642654,25.314651744179745,4970.063560176257,25.0,3.5985,-5.0,0.2005555555555555,charge
123.0,351.033545421821,25.553734846060813,4970.096660636086,25.0,3.59875,-5.0,0.2008333333333333,charge
124.0,353.10345337103865,25.707478027484346,4970.12605998809,25.0,3.599,-5.0,0.2011111111111111,charge
125.0,349.6935195955726,25.455307007079448,4970.199975465994,25.0,3.59925,-5.0,0.2013888888888889,charge
126.0,349.5826375745313,25.447510190706023,4970.196704308855,25.0,3.5995,-5.0,0.2016666666666667,charge
127.0,351.56119115600274,25.59448638192613,4970.244472585256,25.0,3.59975,-5.0,0.2019444444444444,charge
128.0,350.2703895210528,25.499288112670577,4970.230993310424,25.0,3.6,-5.0,0.2022222222222222,charge
129.0,350.74397451606325,25.53478514933802,4970.237641331927,25.0,3.60025,-5.0,0.2025,charge
130.0,351.0407714222051,25.5571867720152,4970.276667377389,25.0,3.6005,-5.0,0.2027777777777777,charge
131.0,352.0597798640696,25.63308554548664,4970.358403490542,25.0,3.60075,-5.0,0.2030555555555555,charge
132.0,351.2613643052736,25.57436031890915,4970.340654356037,25.0,3.6009999999999995,-5.0,0.2033333333333333,charge
133.0,352.0834383956357,25.635671362639684,4970.284248058859,25.0,3.60125,-5.0,0.2036111111111111,charge
134.0,351.7679111855509,25.612715643374138,4970.414350794015,25.0,3.6015,-5.0,0.2038888888888889,charge
135.0,351.2386622296818,25.57392868368013,4970.358343435406,25.0,3.60175,-5.0,0.2041666666666667,charge
136.0,351.902395964479,25.623510812183632,4970.330668359193,25.0,3.602,-5.0,0.2044444444444444,charge
137.0,351.41071144594315,25.5875064034032,4970.467605479703,25.0,3.60225,-5.0,0.2047222222222222,charge
138.0,352.5065149858697,25.66909370265702,4970.587710730882,25.0,3.6025,-5.0,0.205,charge
139.0,351.51502266132326,25.59606649343135,4970.571610937038,25.0,3.60275,-5.0,0.2052777777777777,charge
140.0,351.68488340848256,25.60906543766537,4970.58682823068,25.0,3.603,-5.0,0.2055555555555555,charge
141.0,354.3736284819719,25.808648406071992,4970.540879687539,25.0,3.60325,-5.0,0.2058333333333333,charge
142.0,353.0023713352502,25.70749046927779,4970.5546235833535,25.0,3.6035,-5.0,0.2061111111111111,charge
143.0,353.1405424189724,25.718142031034997,4970.584730090613,25.0,3.60375,-5.0,0.2063888888888889,charge
144.0,353.844869753251,25.770731092833405,4970.6453106098725,25.0,3.604,-5.0,0.2066666666666666,charge
145.0,353.0513652196734,25.71236964590173,4970.655174483744,25.0,3.60425,-5.0,0.2069444444444444,charge
146.0,353.3825757436329,25.737320425454293,4970.725726428238,25.0,3.6045,-5.0,0.2072222222222222,charge
147.0,354.1751487353319,25.79644620261718,4970.760501068969,25.0,3.60475,-5.0,0.2075,charge
148.0,354.1713047311333,25.7965781282321,4970.730100177556,25.0,3.605,-5.0,0.2077777777777777,charge
149.0,352.86848105084533,25.70048933709965,4970.830994089749,25.0,3.60525,-5.0,0.2080555555555555,charge
150.0,355.0000092633363,25.85879698246936,4970.719752926992,25.0,3.6055,-5.0,0.2083333333333333,charge
151.0,353.7151206122665,25.764036712019735,4970.82930495308,25.0,3.60575,-5.0,0.2086111111111111,charge
152.0,353.38836549413026,25.7402492958615,4970.859052346754,25.0,3.606,-5.0,0.2088888888888889,charge
153.0,353.6828582633343,25.762480241728465,4970.8763399743375,25.0,3.60625,-5.0,0.2091666666666666,charge
154.0,354.3316768778669,25.81095754650866,4970.931527157635,25.0,3.6065,-5.0,0.2094444444444444,charge
155.0,356.4884113657342,25.97113232338772,4970.958347944558,25.0,3.60675,-5.0,0.2097222222222222,charge
156.0,353.82446409507924,25.77421956259846,4971.011157270908,25.0,3.607,-5.0,0.21,charge
157.0,355.29896478142325,25.88385850232765,4971.046123101792,25.0,3.60725,-5.0,0.2102777777777777,charge
158.0,353.13995341968723,25.724348401458315,4970.964838537587,25.0,3.6075,-5.0,0.2105555555555555,charge
159.0,355.41509973352146,25.893294424705296,4971.12797661887,25.0,3.60775,-5.0,0.2108333333333333,charge
160.0,356.4551219730316,25.97074977578012,4971.132047741441,25.0,3.608,-5.0,0.2111111111111111,charge
161.0,355.457781122383,25.89728934239874,4971.2012548588455,25.0,3.60825,-5.0,0.2113888888888889,charge
162.0,355.20397840945003,25.878905808107408,4971.239519295439,25.0,3.6085,-5.0,0.2116666666666666,charge
163.0,356.20373328628085,25.95337839157636,4971.283448444758,25.0,3.60875,-5.0,0.2119444444444444,charge
164.0,356.81126286226174,25.998797249056423,4971.288320813326,25.0,3.609,-5.0,0.2122222222222222,charge
165.0,356.9136575710174,26.00679870896425,4971.249498259041,25.0,3.60925,-5.0,0.2125,charge
166.0,358.3613627428187,26.11445279576435,4971.35340133513,25.0,3.6095,-5.0,0.2127777777777778,charge
167.0,356.73694525011405,25.994542240749187,4971.308015662877,25.0,3.60975,-5.0,0.2130555555555555,charge
168.0,356.07425656691373,25.945870856808423,4971.316082838576,25.0,3.61,-5.0,0.2133333333333333,charge
169.0,356.6795763655689,25.99112602707918,4971.367143950589,25.0,3.61025,-5.0,0.2136111111111111,charge
170.0,356.87194589882466,26.005792288801825,4971.483684576726,25.0,3.6105,-5.0,0.2138888888888889,charge
171.0,357.1920707168115,26.029921904949,4971.472956186359,25.0,3.61075,-5.0,0.2141666666666666,charge
172.0,357.1921944089928,26.030347733999463,4971.454923976956,25.0,3.611,-5.0,0.2144444444444444,charge
173.0,357.5350770500073,26.05616311481536,4971.475482154498,25.0,3.61125,-5.0,0.2147222222222222,charge
174.0,355.8291499393849,25.93021481032481,4971.457195652964,25.0,3.6115,-5.0,0.215,charge
175.0,358.4685178449289,26.12614021073548,4971.57675985517,25.0,3.61175,-5.0,0.2152777777777778,charge
176.0,357.2030385088568,26.03281766732272,4971.372343075502,25.0,3.612,-5.0,0.2155555555555555,charge
177.0,356.7435079702196,25.99919503483108,4971.590624529592,25.0,3.61225,-5.0,0.2158333333333333,charge
178.0,358.69330671519697,26.14404123816274,4971.595323078231,25.0,3.6125,-5.0,0.2161111111111111,charge
179.0,359.51177045183056,26.205084848283743,4971.608832754278,25.0,3.61275,-5.0,0.2163888888888889,charge
180.0,358.8263614828328,26.154730480209835,4971.712326806754,25.0,3.613,-5.0,0.2166666666666666,charge
181.0,358.6333815360678,26.140852336005025,4971.680816808971,25.0,3.61325,-5.0,0.2169444444444444,charge
182.0,357.6788908057391,26.070565985610305,4971.800656050694,25.0,3.6135,-5.0,0.2172222222222222,charge
183.0,361.6215673378135,26.36303276576396,4971.686954866872,25.0,3.61375,-5.0,0.2175,charge
184.0,359.7691475095504,26.226233148855588,4971.887722825547,25.0,3.614,-5.0,0.2177777777777778,charge
185.0,357.8884831074348,26.08734134129147,4971.776778757289,25.0,3.61425,-5.0,0.2180555555555555,charge
186.0,358.38702875042696,26.124687314846444,4971.871334946186,25.0,3.6145,-5.0,0.2183333333333333,charge
187.0,359.3925348041274,26.199585911416847,4971.833489673041,25.0,3.61475,-5.0,0.2186111111111111,charge
188.0,357.88971331244846,26.08868246758877,4971.860039222686,25.0,3.615,-5.0,0.2188888888888889,charge
189.0,359.7519637403439,26.22704361039585,4971.919645170017,25.0,3.61525,-5.0,0.2191666666666666,charge
190.0,359.2631506665095,26.191251901222927,4971.983326415935,25.0,3.6155,-5.0,0.2194444444444444,charge
191.0,361.0873817114273,26.326796793439065,4971.946580589901,25.0,3.61575,-5.0,0.2197222222222222,charge
192.0,360.9621546636282,26.31793738249098,4971.964092861676,25.0,3.616,-5.0,0.22,charge
193.0,357.42760345145416,26.056535440848457,4972.001101185906,25.0,3.61625,-5.0,0.2202777777777778,charge
194.0,360.3194803638051,26.271165212133717,4971.988461528986,25.0,3.6165,-5.0,0.2205555555555555,charge
195.0,358.79919916714294,26.15896845682541,4972.018452756845,25.0,3.61675,-5.0,0.2208333333333333,charge
196.0,361.6651935548041,26.37168100405956,4972.120228138479,25.0,3.617,-5.0,0.2211111111111111,charge
197.0,360.8625503135723,26.31264261582017,4972.181390219008,25.0,3.61725,-5.0,0.2213888888888889,charge
198.0,361.3817387855204,26.35151768781633,4972.207238490852,25.0,3.6175,-5.0,0.2216666666666666,charge
199.0,359.9070974934189,26.24270166617918,4972.190859824455,25.0,3.61775,-5.0,0.2219444444444444,charge
200.0,362.9395413491066,26.467743803637525,4972.231526193117,25.0,3.618,-5.0,0.2222222222222222,charge
201.0,363.2700733671504,26.49264432349262,4972.120382131203,25.0,3.61825,-5.0,0.2225,charge
202.0,360.3241178462627,26.27484206268613,4972.234216110441,25.0,3.6185,-5.0,0.2227777777777778,charge
203.0,361.9005928996441,26.39203465923289,4972.281606559912,25.0,3.61875,-5.0,0.2230555555555555,charge
204.0,360.9933642382765,26.3252492028353,4972.353673422946,25.0,3.619,-5.0,0.2233333333333333,charge
205.0,361.7819856186948,26.38408226805147,4972.382221845426,25.0,3.61925,-5.0,0.2236111111111111,charge
206.0,360.6788074652199,26.302782034460733,4972.382267644269,25.0,3.6195,-5.0,0.2238888888888889,charge
207.0,363.950478847914,26.54554472947511,4972.41743530794,25.0,3.61975,-5.0,0.2241666666666666,charge
208.0,361.2530427111396,26.346151311936268,4972.555153117322,25.0,3.62,-5.0,0.2244444444444444,charge
209.0,362.06502729611367,26.40671498489731,4972.427538381046,25.0,3.62025,-5.0,0.2247222222222222,charge
210.0,363.0014829311105,26.47649873563781,4972.502919940839,25.0,3.6205,-5.0,0.225,charge
211.0,361.9913282104728,26.40208912670169,4972.503822947761,25.0,3.62075,-5.0,0.2252777777777778,charge
212.0,362.5384653480455,26.44303447022559,4972.5211363787375,25.0,3.621,-5.0,0.2255555555555555,charge
213.0,362.3530268202397,26.429714949647384,4972.56591989749,25.0,3.62125,-5.0,0.2258333333333333,charge
214.0,362.92209480071926,26.47228480005328,4972.617685912117,25.0,3.6215,-5.0,0.2261111111111111,charge
215.0,362.0239018093442,26.40616865254401,4972.5999184023685,25.0,3.62175,-5.0,0.2263888888888889,charge
216.0,362.8953452577311,26.47113668575786,4972.76103365226,25.0,3.622,-5.0,0.2266666666666666,charge
217.0,363.26532929751,26.49895957759333,4972.684670194937,25.0,3.62225,-5.0,0.2269444444444444,charge
218.0,363.2773851073069,26.500269267207923,4972.7125320184905,25.0,3.6225,-5.0,0.2272222222222222,charge
219.0,363.8066899548938,26.5398937003625,4972.828697774648,25.0,3.62275,-5.0,0.2275,charge
220.0,363.5957866695322,26.524687901446825,4972.855485930961,25.0,3.623,-5.0,0.2277777777777778,charge
221.0,364.78098918621714,26.6128973471272,4972.871543089822,25.0,3.62325,-5.0,0.2280555555555555,charge
222.0,363.8434707408808,26.543868203028207,4972.891271270424,25.0,3.6235,-5.0,0.2283333333333333,charge
223.0,364.1689059592596,26.56839118216738,4972.765547296771,25.0,3.62375,-5.0,0.2286111111111111,charge
224.0,363.77966310844863,26.539975045070268,4972.861058654257,25.0,3.624,-5.0,0.2288888888888889,charge
225.0,364.05681849321815,26.56092174023838,4972.901526756697,25.0,3.62425,-5.0,0.2291666666666666,charge
226.0,363.4577294314025,26.51696143936315,4972.905070843466,25.0,3.6245,-5.0,0.2294444444444444,charge
227.0,365.37989603198906,26.65976081718437,4973.04716834692,25.0,3.62475,-5.0,0.2297222222222222,charge
228.0,363.8574819823475,26.54740607276648,4973.047871517599,25.0,3.625,-5.0,0.23,charge
229.0,364.3930324907006,26.587493147459305,4972.9822458715125,25.0,3.62525,-5.0,0.2302777777777777,charge
230.0,365.637022429789,26.68005721702141,4972.983563177837,25.0,3.6255,-5.0,0.2305555555555555,charge
231.0,365.8192400326112,26.693971483897123,4973.000804577487,25.0,3.62575,-5.0,0.2308333333333333,charge
232.0,365.1554408045505,26.645217837374112,4973.045036858641,25.0,3.626,-5.0,0.2311111111111111,charge
233.0,363.6751786339557,26.53598545436709,4973.144639392028,25.0,3.62625,-5.0,0.2313888888888889,charge
234.0,366.25384662062896,26.727414564491035,4973.196203383067,25.0,3.6265,-5.0,0.2316666666666667,charge
235.0,366.2317856811143,26.726197087489947,4973.163569489761,25.0,3.62675,-5.0,0.2319444444444444,charge
236.0,364.6987298956393,26.61305406634365,4973.297203896097,25.0,3.627,-5.0,0.2322222222222222,charge
237.0,367.0203220827945,26.785440524651445,4973.236968222437,25.0,3.62725,-5.0,0.2325,charge
238.0,365.6877890884555,26.68715104358929,4973.296547487234,25.0,3.6275,-5.0,0.2327777777777777,charge
239.0,365.4015896616245,26.66636775271292,4973.245245303642,25.0,3.62775,-5.0,0.2330555555555555,charge
240.0,366.76239737763086,26.76758499093562,4973.316370748379,25.0,3.628,-5.0,0.2333333333333333,charge
241.0,366.62708512415634,26.757978527715284,4973.29347842136,25.0,3.62825,-5.0,0.2336111111111111,charge
242.0,367.1470684454356,26.79691247743968,4973.388406589668,25.0,3.6285,-5.0,0.2338888888888889,charge
243.0,365.47758527500895,26.673663724074736,4973.456144776793,25.0,3.62875,-5.0,0.2341666666666667,charge
244.0,369.0344523384946,26.93755202507367,4973.432635813308,25.0,3.629,-5.0,0.2344444444444444,charge
245.0,366.7584524965674,26.769376110856843,4973.46348802175,25.0,3.62925,-5.0,0.2347222222222222,charge
246.0,365.9603406915036,26.710673384555815,4973.55846116941,25.0,3.6295,-5.0,0.235,charge
247.0,368.25773107745607,26.881267116848598,4973.504211023912,25.0,3.62975,-5.0,0.2352777777777777,charge
248.0,367.4229736476766,26.819849899827894,4973.61063402811,25.0,3.63,-5.0,0.2355555555555555,charge
249.0,368.2415251524396,26.880900011291825,4973.598275753303,25.0,3.63025,-5.0,0.2358333333333333,charge
250.0,367.7159471249305,26.84238497221708,4973.576519058368,25.0,3.6305,-5.0,0.2361111111111111,charge
251.0,368.13470408396455,26.873820672886264,4973.593101459126,25.0,3.63075,-5.0,0.2363888888888889,charge
252.0,368.579106177072,26.907156013116445,4973.675811732446,25.0,3.631,-5.0,0.2366666666666666,charge
253.0,367.7255693382393,26.844347728758468,4973.740817107293,25.0,3.63125,-5.0,0.2369444444444444,charge
254.0,369.2898507069706,26.960637089405232,4973.710615260763,25.0,3.6315,-5.0,0.2372222222222222,charge
255.0,368.2800999009205,26.88625740006818,4973.682663575494,25.0,3.63175,-5.0,0.2375,charge
256.0,368.0192017447184,26.867348277386547,4973.749421417502,25.0,3.632,-5.0,0.2377777777777777,charge
257.0,369.10481019960025,26.94818038515557,4973.852197662595,25.0,3.63225,-5.0,0.2380555555555555,charge
258.0,369.6117079451577,26.98614503297465,4973.848644955496,25.0,3.6325,-5.0,0.2383333333333333,charge
259.0,369.0764762139369,26.94691490473607,4973.848429072515,25.0,3.63275,-5.0,0.2386111111111111,charge
260.0,368.5819246573649,26.91069812276777,4973.884362903485,25.0,3.633,-5.0,0.2388888888888889,charge
261.0,370.203118899642,27.03120325182533,4974.017270927796,25.0,3.63325,-5.0,0.2391666666666667,charge
262.0,367.96189343009945,26.86560321704441,4973.808637006643,25.0,3.6335,-5.0,0.2394444444444444,charge
263.0,368.8302469750756,26.93034236852412,4973.906001194666,25.0,3.63375,-5.0,0.2397222222222222,charge
264.0,370.03952289053336,27.0203350289284,4974.05435971744,25.0,3.634,-5.0,0.24,charge
265.0,368.7778294905838,26.927292925228432,4974.060347932528,25.0,3.63425,-5.0,0.2402777777777777,charge
266.0,370.3057720420269,27.040890521631624,4974.075874124413,25.0,3.6345,-5.0,0.2405555555555555,charge
267.0,370.3618035486482,27.045457670270235,4974.040748216172,25.0,3.63475,-5.0,0.2408333333333333,charge
268.0,371.4542953444137,27.12679965514176,4974.156948171618,25.0,3.635,-5.0,0.2411111111111111,charge
269.0,369.7796540926312,27.003168821676383,4974.097619062013,25.0,3.63525,-5.0,0.2413888888888889,charge
270.0,370.20742680969175,27.035272356273467,4974.136043190704,25.0,3.6355,-5.0,0.2416666666666666,charge
271.0,371.3054039069232,27.11702065977209,4974.1472107422005,25.0,3.63575,-5.0,0.2419444444444444,charge
272.0,368.6535475209053,26.921003520067057,4974.249504511197,25.0,3.636,-5.0,0.2422222222222222,charge
