t_s,I_A,voltage_V,T_degC,soc,pulse_id,seg_type
3.7,0.0,3.6072943024605393,25.0,0.2,1,rest
3.8,0.0,3.60731245785969,25.0,0.2,1,rest
3.9,0.0,3.607311873353126,25.0,0.2,1,rest
4.0,0.0,3.6072985096917054,25.0,0.2,1,rest
4.1,0.0,3.60730395094563,25.0,0.2,1,rest
4.2,0.0,3.60731006277545,25.0,0.2,1,rest
4.3,0.0,3.607301335696017,25.0,0.2,1,rest
4.4,0.0,3.6073098005125694,25.0,0.2,1,rest
4.5,0.0,3.607311738042523,25.0,0.2,1,rest
4.6,0.0,3.607311139074618,25.0,0.2,1,rest
4.7,0.0,3.6073057202956647,25.0,0.2,1,rest
4.8,0.0,3.6073167206929657,25.0,0.2,1,rest
4.9,0.0,3.607319694881791,25.0,0.2,1,rest
5.0,0.0,3.607313991695293,25.0,0.2,1,rest
5.1,0.0,3.607302600909974,25.0,0.2,1,rest
5.2,0.0,3.6073180997350858,25.0,0.2,1,rest
5.3,0.0,3.607305768812063,25.0,0.2,1,rest
5.4,0.0,3.607319574818431,25.0,0.2,1,rest
5.5,0.0,3.6073000653380793,25.0,0.2,1,rest
5.6,0.0,3.607319927884279,25.0,0.2,1,rest
5.7,0.0,3.6073105825777017,25.0,0.2,1,rest
5.8,0.0,3.6072982957233446,25.0,0.2,1,rest
5.9,0.0,3.607307644217528,25.0,0.2,1,rest
6.0,0.0,3.607311324235036,25.0,0.2,1,rest
6.1,0.0,3.60731351112564,25.0,0.2,1,rest
6.2,0.0,3.607300961330999,25.0,0.2,1,rest
6.3,0.0,3.607299709481776,25.0,0.2,1,rest
6.4,0.0,3.607312779057577,25.0,0.2,1,rest
6.5,0.0,3.6073061157160793,25.0,0.2,1,rest
6.6,0.0,3.607313138268365,25.0,0.2,1,rest
6.7,0.0,3.6073183784074727,25.0,0.2,1,rest
6.8,0.0,3.607294295338584,25.0,0.2,1,rest
6.9,0.0,3.607313327093413,25.0,0.2,1,rest
7.0,0.0,3.607323029681923,25.0,0.2,1,rest
7.1,0.0,3.607307807943804,25.0,0.2,1,rest
7.2,0.0,3.607302675066416,25.0,0.2,1,rest
7.3,0.0,3.60731830565052,25.0,0.2,1,rest
7.4,0.0,3.60731331767741,25.0,0.2,1,rest
7.5,0.0,3.607319742042956,25.0,0.2,1,rest
7.6,0.0,3.6073073310551473,25.0,0.2,1,rest
7.7,0.0,3.607295965029511,25.0,0.2,1,rest
7.8,0.0,3.6073096831046008,25.0,0.2,1,rest
7.9,0.0,3.607306324930718,25.0,0.2,1,rest
8.0,0.0,3.607318536450468,25.0,0.2,1,rest
8.1,0.0,3.607312719540732,25.0,0.2,1,rest
8.2,0.0,3.607294474719924,25.0,0.2,1,rest
8.3,0.0,3.607298831581447,25.0,0.2,1,rest
8.4,0.0,3.6073196211026137,25.0,0.2,1,rest
8.5,0.0,3.6073175808624223,25.0,0.2,1,rest
8.6,0.0,3.6073043807785887,25.0,0.2,1,rest
8.7,0.0,3.6073107727242815,25.0,0.2,1,rest
8.8,0.0,3.607315238947786,25.0,0.2,1,rest
8.9,0.0,3.6073154672556074,25.0,0.2,1,rest
9.0,0.0,3.607319545634209,25.0,0.2,1,rest
9.1,0.0,3.60731334806852,25.0,0.2,1,rest
9.2,0.0,3.6073098349288575,25.0,0.2,1,rest
9.3,0.0,3.6073081947316,25.0,0.2,1,rest
9.4,0.0,3.607321340640253,25.0,0.2,1,rest
9.5,0.0,3.607288274669497,25.0,0.2,1,rest
9.6,0.0,3.607309396658997,25.0,0.2,1,rest
9.7,0.0,3.607311113213288,25.0,0.2,1,rest
9.8,0.0,3.60729652972264,25.0,0.2,1,rest
9.9,0.0,3.60731411134838,25.0,0.2,1,rest
10.0,0.0,3.607304270402123,25.0,0.2,1,rest
10.1,0.0,3.6073194076602113,25.0,0.2,1,rest
10.2,0.0,3.607309527291408,25.0,0.2,1,rest
10.3,0.0,3.607317474744656,25.0,0.2,1,rest
10.4,0.0,3.6073229716483,25.0,0.2,1,rest
10.5,0.0,3.607314612508075,25.0,0.2,1,rest
10.6,0.0,3.6073020260008137,25.0,0.2,1,rest
10.7,0.0,3.607295640025931,25.0,0.2,1,rest
10.8,0.0,3.607328317053423,25.0,0.2,1,rest
10.9,0.0,3.607309670290316,25.0,0.2,1,rest
11.0,0.0,3.607303897562772,25.0,0.2,1,rest
11.1,0.0,3.607312225783129,25.0,0.2,1,rest
11.2,0.0,3.607308869098943,25.0,0.2,1,rest
11.3,0.0,3.60731930463489,25.0,0.2,1,rest
11.4,0.0,3.607311122494072,25.0,0.2,1,rest
11.5,0.0,3.607310920708084,25.0,0.2,1,rest
11.6,0.0,3.6073036374150376,25.0,0.2,1,rest
11.7,0.0,3.607315478893236,25.0,0.2,1,rest
11.8,0.0,3.607300444545024,25.0,0.2,1,rest
11.9,0.0,3.6073174421066456,25.0,0.2,1,rest
12.0,0.0,3.607326022587378,25.0,0.2,1,rest
12.1,0.0,3.607295536351867,25.0,0.2,1,rest
12.2,0.0,3.6072861209199343,25.0,0.2,1,rest
12.3,0.0,3.6073169519998,25.0,0.2,1,rest
12.4,0.0,3.607336262190403,25.0,0.2,1,rest
12.5,0.0,3.6073007739637593,25.0,0.2,1,rest
12.6,0.0,3.60729827625466,25.0,0.2,1,rest
12.7,0.0,3.607316672901586,25.0,0.2,1,rest
12.8,0.0,3.607302375996347,25.0,0.2,1,rest
12.9,0.0,3.607305722957409,25.0,0.2,1,rest
13.0,0.0,3.607307302037581,25.0,0.2,1,rest
13.1,0.0,3.607316103233111,25.0,0.2,1,rest
13.2,0.0,3.607306730188634,25.0,0.2,1,rest
13.3,0.0,3.6073135620406487,25.0,0.2,1,rest
13.4,0.0,3.607309017879659,25.0,0.2,1,rest
13.5,0.0,3.607302336501212,25.0,0.2,1,rest
13.6,0.0,3.6073075849496714,25.0,0.2,1,rest
13.7,0.0,3.607301279215596,25.0,0.2,1,rest
13.8,0.0,3.607310848362107,25.0,0.2,1,rest
13.9,0.0,3.607299544549973,25.0,0.2,1,rest
14.0,0.0,3.607299854268555,25.0,0.2,1,rest
14.1,0.0,3.607325352830401,25.0,0.2,1,rest
14.2,0.0,3.607310251370045,25.0,0.2,1,rest
14.3,0.0,3.607310244191993,25.0,0.2,1,rest
14.4,0.0,3.6073158985764473,25.0,0.2,1,rest
14.5,0.0,3.607306574642223,25.0,0.2,1,rest
14.6,0.0,3.607308497858573,25.0,0.2,1,rest
14.7,0.0,3.607315034699601,25.0,0.2,1,rest
14.8,0.0,3.60731360737067,25.0,0.2,1,rest
14.9,0.0,3.6072991902449782,25.0,0.2,1,rest
15.0,0.0,3.607319116638215,25.0,0.2,1,rest
15.1,0.0,3.607304878862815,25.0,0.2,1,rest
15.2,0.0,3.6073002224227446,25.0,0.2,1,rest
15.3,0.0,3.607301778461548,25.0,0.2,1,rest
15.4,0.0,3.607306877758804,25.0,0.2,1,rest
15.5,0.0,3.6073270562147934,25.0,0.2,1,rest
15.6,0.0,3.607299027853199,25.0,0.2,1,rest
15.7,0.0,3.607312383971173,25.0,0.2,1,rest
15.8,0.0,3.6072894049686672,25.0,0.2,1,rest
15.9,0.0,3.607310767542917,25.0,0.2,1,rest
16.0,0.0,3.607319778876423,25.0,0.2,1,rest
16.1,0.0,3.607308416579028,25.0,0.2,1,rest
16.2,0.0,3.607304489663009,25.0,0.2,1,rest
16.3,0.0,3.607313098322889,25.0,0.2,1,rest
16.4,0.0,3.60731778472976,25.0,0.2,1,rest
16.5,0.0,3.6073174197879583,25.0,0.2,1,rest
16.6,0.0,3.6073305079507874,25.0,0.2,1,rest
16.7,0.0,3.607312874886971,25.0,0.2,1,rest
16.8,0.0,3.60730485911125,25.0,0.2,1,rest
16.9,0.0,3.607309523420348,25.0,0.2,1,rest
17.0,0.0,3.607310058226792,25.0,0.2,1,rest
17.1,0.0,3.607311870586083,25.0,0.2,1,rest
17.2,0.0,3.607310482934116,25.0,0.2,1,rest
17.3,0.0,3.607312522871637,25.0,0.2,1,rest
17.4,0.0,3.6072940747116418,25.0,0.2,1,rest
17.5,0.0,3.607319079501808,25.0,0.2,1,rest
17.6,0.0,3.607305035819559,25.0,0.2,1,rest
17.7,0.0,3.6072990516252834,25.0,0.2,1,rest
17.8,0.0,3.607317160723845,25.0,0.2,1,rest
17.9,0.0,3.607323956472322,25.0,0.2,1,rest
18.0,0.0,3.607315713493743,25.0,0.2,1,rest
18.1,0.0,3.6073123948053865,25.0,0.2,1,rest
18.2,0.0,3.607301461009194,25.0,0.2,1,rest
18.3,0.0,3.607339498885626,25.0,0.2,1,rest
18.4,0.0,3.607319585798455,25.0,0.2,1,rest
18.5,0.0,3.6072993902655446,25.0,0.2,1,rest
18.6,0.0,3.6073029868330857,25.0,0.2,1,rest
18.7,0.0,3.6073116530047336,25.0,0.2,1,rest
18.8,0.0,3.607295235900928,25.0,0.2,1,rest
18.9,0.0,3.607312469516318,25.0,0.2,1,rest
19.0,0.0,3.607306192496691,25.0,0.2,1,rest
19.1,0.0,3.607323045918251,25.0,0.2,1,rest
19.2,0.0,3.607320404758884,25.0,0.2,1,rest
19.3,0.0,3.6072836703578735,25.0,0.2,1,rest
19.4,0.0,3.607311200238108,25.0,0.2,1,rest
19.5,0.0,3.6072946085372526,25.0,0.2,1,rest
19.6,0.0,3.6073218795922406,25.0,0.2,1,rest
19.7,0.0,3.6073124642709393,25.0,0.2,1,rest
19.8,0.0,3.60731626726677,25.0,0.2,1,rest
19.9,0.0,3.60730013196496,25.0,0.2,1,rest
20.0,0.0,3.607329067514628,25.0,0.2,1,rest
20.1,0.0,3.60733098394592,25.0,0.2,1,rest
20.2,0.0,3.6073001355018217,25.0,0.2,1,rest
20.3,0.0,3.607314511363467,25.0,0.2,1,rest
20.4,0.0,3.607304050187964,25.0,0.2,1,rest
20.5,0.0,3.60731054751288,25.0,0.2,1,rest
20.6,0.0,3.607298126842456,25.0,0.2,1,rest
20.7,0.0,3.607329454667394,25.0,0.2,1,rest
20.8,0.0,3.607301091417137,25.0,0.2,1,rest
20.9,0.0,3.607307822374098,25.0,0.2,1,rest
21.0,0.0,3.607315798041559,25.0,0.2,1,rest
21.1,0.0,3.607304307605464,25.0,0.2,1,rest
21.2,0.0,3.607308390087951,25.0,0.2,1,rest
21.3,0.0,3.607305146813784,25.0,0.2,1,rest
21.4,0.0,3.6073094486047,25.0,0.2,1,rest
21.5,0.0,3.607299077785897,25.0,0.2,1,rest
21.6,0.0,3.607306403331492,25.0,0.2,1,rest
21.7,0.0,3.607308714283001,25.0,0.2,1,rest
21.8,0.0,3.60730744595221,25.0,0.2,1,rest
21.9,0.0,3.607311350111797,25.0,0.2,1,rest
22.0,0.0,3.607307852190055,25.0,0.2,1,rest
22.1,0.0,3.607318315326333,25.0,0.2,1,rest
22.2,0.0,3.60730755125299,25.0,0.2,1,rest
22.3,0.0,3.607309416716285,25.0,0.2,1,rest
22.4,0.0,3.607304135398888,25.0,0.2,1,rest
22.5,0.0,3.607305518063847,25.0,0.2,1,rest
22.6,0.0,3.60729813828434,25.0,0.2,1,rest
22.7,0.0,3.607315971061457,25.0,0.2,1,rest
22.8,0.0,3.607299358032072,25.0,0.2,1,rest
22.9,0.0,3.607303324648266,25.0,0.2,1,rest
23.0,0.0,3.607314375658768,25.0,0.2,1,rest
23.1,0.0,3.6073148089459073,25.0,0.2,1,rest
23.2,0.0,3.6073067820647378,25.0,0.2,1,rest
23.3,0.0,3.6072905905541433,25.0,0.2,1,rest
23.4,0.0,3.607314988345121,25.0,0.2,1,rest
23.5,0.0,3.607313378846837,25.0,0.2,1,rest
23.6,0.0,3.607296659400093,25.0,0.2,1,rest
23.7,0.0,3.607318486433076,25.0,0.2,1,rest
23.8,0.0,3.607303772214244,25.0,0.2,1,rest
23.9,0.0,3.607299521331087,25.0,0.2,1,rest
24.0,0.0,3.6073117405193575,25.0,0.2,1,rest
24.1,0.0,3.607308998507934,25.0,0.2,1,rest
24.2,0.0,3.607312809452258,25.0,0.2,1,rest
24.3,0.0,3.607294725731665,25.0,0.2,1,rest
24.4,0.0,3.607328905513411,25.0,0.2,1,rest
24.5,0.0,3.607304756626103,25.0,0.2,1,rest
24.6,0.0,3.607295386619163,25.0,0.2,1,rest
24.7,0.0,3.6073169716341336,25.0,0.2,1,rest
24.8,0.0,3.6073072351709463,25.0,0.2,1,rest
24.9,0.0,3.6073140317971055,25.0,0.2,1,rest
25.0,0.0,3.6073073871279417,25.0,0.2,1,rest
25.1,0.0,3.607310185808643,25.0,0.2,1,rest
25.2,0.0,3.607313240940685,25.0,0.2,1,rest
25.3,0.0,3.607303316683408,25.0,0.2,1,rest
25.4,0.0,3.607317570608207,25.0,0.2,1,rest
25.5,0.0,3.607306084211257,25.0,0.2,1,rest
25.6,0.0,3.6073020863408063,25.0,0.2,1,rest
25.7,0.0,3.607311553536466,25.0,0.2,1,rest
25.8,0.0,3.607315233625033,25.0,0.2,1,rest
25.9,0.0,3.607308492418832,25.0,0.2,1,rest
26.0,0.0,3.607302158014378,25.0,0.2,1,rest
26.1,0.0,3.607316981067911,25.0,0.2,1,rest
26.2,0.0,3.607293179924327,25.0,0.2,1,rest
26.3,0.0,3.607300474570888,25.0,0.2,1,rest
26.4,0.0,3.607311178441153,25.0,0.2,1,rest
26.5,0.0,3.607297172618265,25.0,0.2,1,rest
26.6,0.0,3.6073110631548895,25.0,0.2,1,rest
26.7,0.0,3.607310234581068,25.0,0.2,1,rest
26.8,0.0,3.607319770610137,25.0,0.2,1,rest
26.9,0.0,3.6073016353087297,25.0,0.2,1,rest
27.0,0.0,3.607304524147012,25.0,0.2,1,rest
27.1,0.0,3.607314115029095,25.0,0.2,1,rest
27.2,0.0,3.607286207576346,25.0,0.2,1,rest
27.3,0.0,3.607341783635237,25.0,0.2,1,rest
27.4,0.0,3.6073037967049433,25.0,0.2,1,rest
27.5,0.0,3.607303484861721,25.0,0.2,1,rest
27.6,0.0,3.607319394487357,25.0,0.2,1,rest
27.7,0.0,3.6073103848938337,25.0,0.2,1,rest
27.8,0.0,3.6072929889260608,25.0,0.2,1,rest
27.9,0.0,3.607317052486049,25.0,0.2,1,rest
28.0,0.0,3.607319336990588,25.0,0.2,1,rest
28.1,0.0,3.607306283749513,25.0,0.2,1,rest
28.2,0.0,3.607307967208665,25.0,0.2,1,rest
28.3,0.0,3.6073156430582207,25.0,0.2,1,rest
28.4,0.0,3.607301695409749,25.0,0.2,1,rest
28.5,0.0,3.60731516709789,25.0,0.2,1,rest
28.6,0.0,3.607312776197353,25.0,0.2,1,rest
28.7,0.0,3.60730403388609,25.0,0.2,1,rest
28.8,0.0,3.6072968621935098,25.0,0.2,1,rest
28.9,0.0,3.60730852715394,25.0,0.2,1,rest
29.0,0.0,3.6073020289896656,25.0,0.2,1,rest
29.1,0.0,3.6073207973145047,25.0,0.2,1,rest
29.2,0.0,3.6073122240659328,25.0,0.2,1,rest
29.3,0.0,3.6073186040574736,25.0,0.2,1,rest
29.4,0.0,3.607312129431601,25.0,0.2,1,rest
29.5,0.0,3.607313412223419,25.0,0.2,1,rest
29.6,0.0,3.607302953223076,25.0,0.2,1,rest
29.7,0.0,3.6073174636865137,25.0,0.2,1,rest
29.8,0.0,3.607328630194991,25.0,0.2,1,rest
29.9,0.0,3.607307686336693,25.0,0.2,1,rest
30.0,0.0,3.60730485546697,25.0,0.2,1,rest
30.1,0.0,3.607309204845226,25.0,0.2,1,rest
30.2,0.0,3.607305970409412,25.0,0.2,1,rest
30.3,0.0,3.6073037684192615,25.0,0.2,1,rest
30.4,0.0,3.607312165148688,25.0,0.2,1,rest
30.5,0.0,3.6073078740369175,25.0,0.2,1,rest
30.6,0.0,3.607325171948186,25.0,0.2,1,rest
30.7,0.0,3.6073107852286777,25.0,0.2,1,rest
30.8,0.0,3.607314022332024,25.0,0.2,1,rest
30.9,0.0,3.607320303430928,25.0,0.2,1,rest
31.0,0.0,3.607307775653723,25.0,0.2,1,rest
31.1,0.0,3.607325150577649,25.0,0.2,1,rest
31.2,0.0,3.607304456270122,25.0,0.2,1,rest
31.3,0.0,3.607302699935229,25.0,0.2,1,rest
31.4,0.0,3.60730712054206,25.0,0.2,1,rest
31.5,0.0,3.607309636038328,25.0,0.2,1,rest
31.6,0.0,3.607296770030247,25.0,0.2,1,rest
31.7,0.0,3.6073104322644074,25.0,0.2,1,rest
31.8,0.0,3.607294108346344,25.0,0.2,1,rest
31.9,0.0,3.6073247045962535,25.0,0.2,1,rest
32.0,0.0,3.607309973242734,25.0,0.2,1,rest
32.1,0.0,3.607304363635001,25.0,0.2,1,rest
32.2,0.0,3.607301699831065,25.0,0.2,1,rest
32.3,0.0,3.607306938907506,25.0,0.2,1,rest
32.4,0.0,3.607308552417564,25.0,0.2,1,rest
32.5,0.0,3.607300338102592,25.0,0.2,1,rest
32.6,0.0,3.6073015852613097,25.0,0.2,1,rest
32.7,0.0,3.6073089114621975,25.0,0.2,1,rest
32.8,0.0,3.60730557537477,25.0,0.2,1,rest
32.9,0.0,3.607320175343285,25.0,0.2,1,rest
33.0,0.0,3.6073221619159903,25.0,0.2,1,rest
33.1,0.0,3.607310943424284,25.0,0.2,1,rest
33.2,0.0,3.607315519207968,25.0,0.2,1,rest
33.3,0.0,3.607297431328512,25.0,0.2,1,rest
33.4,0.0,3.607317157389342,25.0,0.2,1,rest
33.5,0.0,3.6073104773775526,25.0,0.2,1,rest
33.6,0.0,3.607315629895408,25.0,0.2,1,rest
33.7,0.0,3.607326786773564,25.0,0.2,1,rest
33.8,0.0,3.607287974634685,25.0,0.2,1,rest
33.9,0.0,3.607313392694039,25.0,0.2,1,rest
34.0,0.0,3.607299792021616,25.0,0.2,1,rest
34.1,0.0,3.607316705179162,25.0,0.2,1,rest
34.2,0.0,3.6072976500778737,25.0,0.2,1,rest
34.3,0.0,3.607305829216578,25.0,0.2,1,rest
34.4,0.0,3.607312810549805,25.0,0.2,1,rest
34.5,0.0,3.607316918306113,25.0,0.2,1,rest
34.6,0.0,3.607311531153141,25.0,0.2,1,rest
34.7,0.0,3.607302854902858,25.0,0.2,1,rest
34.8,0.0,3.607305247890071,25.0,0.2,1,rest
34.9,0.0,3.60731962824116,25.0,0.2,1,rest
35.0,0.0,3.607310728216091,25.0,0.2,1,rest
35.1,0.0,3.60729394506828,25.0,0.2,1,rest
35.2,0.0,3.6073192198393302,25.0,0.2,1,rest
35.3,0.0,3.607314945697045,25.0,0.2,1,rest
35.4,0.0,3.6073195173677006,25.0,0.2,1,rest
35.5,0.0,3.607307416937584,25.0,0.2,1,rest
35.6,0.0,3.607319064777432,25.0,0.2,1,rest
35.7,0.0,3.607300172563048,25.0,0.2,1,rest
35.8,0.0,3.6073164832103566,25.0,0.2,1,rest
35.9,0.0,3.607305879409152,25.0,0.2,1,rest
36.0,0.0,3.607317526729297,25.0,0.2,1,rest
36.1,0.0,3.607320839653412,25.0,0.2,1,rest
36.2,0.0,3.607303423310728,25.0,0.2,1,rest
36.3,0.0,3.607310270917453,25.0,0.2,1,rest
36.4,0.0,3.607311172758513,25.0,0.2,1,rest
36.5,0.0,3.6073226798604265,25.0,0.2,1,rest
36.6,0.0,3.607317888793162,25.0,0.2,1,rest
36.7,0.0,3.607298590436808,25.0,0.2,1,rest
36.8,0.0,3.607315359294855,25.0,0.2,1,rest
36.9,0.0,3.607318234104342,25.0,0.2,1,rest
37.0,0.0,3.607332021271208,25.0,0.2,1,rest
37.1,0.0,3.607293991721281,25.0,0.2,1,rest
37.2,0.0,3.607305419689248,25.0,0.2,1,rest
37.3,0.0,3.607324116924129,25.0,0.2,1,rest
37.4,0.0,3.607297232509262,25.0,0.2,1,rest
37.5,0.0,3.6072987886064087,25.0,0.2,1,rest
37.6,0.0,3.6073159540342017,25.0,0.2,1,rest
37.7,0.0,3.6073209672988567,25.0,0.2,1,rest
37.8,0.0,3.607304096407374,25.0,0.2,1,rest
37.9,0.0,3.6073161844839703,25.0,0.2,1,rest
38.0,0.0,3.607311952764942,25.0,0.2,1,rest
38.1,0.0,3.607325970702588,25.0,0.2,1,rest
38.2,0.0,3.6073107680278502,25.0,0.2,1,rest
38.3,0.0,3.607320685685368,25.0,0.2,1,rest
38.4,0.0,3.607301752033655,25.0,0.2,1,rest
38.5,0.0,3.607308934423753,25.0,0.2,1,rest
38.6,0.0,3.60730981616771,25.0,0.2,1,rest
38.7,0.0,3.6073221742917223,25.0,0.2,1,rest
38.8,0.0,3.607316579342643,25.0,0.2,1,rest
38.9,0.0,3.607303265680935,25.0,0.2,1,rest
39.0,0.0,3.607317602889885,25.0,0.2,1,rest
39.1,0.0,3.607318489525012,25.0,0.2,1,rest
39.2,0.0,3.607309666755025,25.0,0.2,1,rest
39.3,0.0,3.6073082065890976,25.0,0.2,1,rest
39.4,0.0,3.607308845179794,25.0,0.2,1,rest
39.5,0.0,3.607293833288188,25.0,0.2,1,rest
39.6,0.0,3.607312670642329,25.0,0.2,1,rest
39.7,0.0,3.60731312899154,25.0,0.2,1,rest
39.8,0.0,3.6073021279270105,25.0,0.2,1,rest
39.9,0.0,3.6073182076747465,25.0,0.2,1,rest
40.0,0.0,3.6072970535428897,25.0,0.2,1,rest
40.1,0.0,3.607305265084034,25.0,0.2,1,rest
40.2,0.0,3.607306031021558,25.0,0.2,1,rest
40.3,0.0,3.607330658310568,25.0,0.2,1,rest
40.4,0.0,3.607294791371616,25.0,0.2,1,rest
40.5,0.0,3.6073164095148,25.0,0.2,1,rest
40.6,0.0,3.607320204445024,25.0,0.2,1,rest
40.7,0.0,3.607314560467888,25.0,0.2,1,rest
40.8,0.0,3.607322601291692,25.0,0.2,1,rest
40.9,0.0,3.607300755835377,25.0,0.2,1,rest
41.0,0.0,3.607287980626225,25.0,0.2,1,rest
41.1,0.0,3.6073184513911376,25.0,0.2,1,rest
41.2,0.0,3.607298824930601,25.0,0.2,1,rest
41.3,0.0,3.6073075192134825,25.0,0.2,1,rest
41.4,0.0,3.6072989947522736,25.0,0.2,1,rest
41.5,0.0,3.6073213066308174,25.0,0.2,1,rest
41.6,0.0,3.6073194347145967,25.0,0.2,1,rest
41.7,0.0,3.607303582575629,25.0,0.2,1,rest
41.8,0.0,3.6073198181306942,25.0,0.2,1,rest
41.9,0.0,3.607311995984841,25.0,0.2,1,rest
42.0,0.0,3.6073093893239423,25.0,0.2,1,rest
42.1,0.0,3.607311357378869,25.0,0.2,1,rest
42.2,0.0,3.6073087557186496,25.0,0.2,1,rest
42.3,0.0,3.6073169332648862,25.0,0.2,1,rest
42.4,0.0,3.607313886687952,25.0,0.2,1,rest
42.5,0.0,3.607307288540784,25.0,0.2,1,rest
42.6,0.0,3.607320845769706,25.0,0.2,1,rest
42.7,0.0,3.6073046684561,25.0,0.2,1,rest
42.8,0.0,3.607313652548679,25.0,0.2,1,rest
42.9,0.0,3.60731500476596,25.0,0.2,1,rest
43.0,0.0,3.6073255712828463,25.0,0.2,1,rest
43.1,0.0,3.607305728798615,25.0,0.2,1,rest
43.2,0.0,3.607328214036711,25.0,0.2,1,rest
43.3,0.0,3.607312544861764,25.0,0.2,1,rest
43.4,0.0,3.607308843443141,25.0,0.2,1,rest
43.5,0.0,3.6073040584847385,25.0,0.2,1,rest
43.6,0.0,3.607316646146439,25.0,0.2,1,rest
43.7,0.0,3.607311272564692,25.0,0.2,1,rest
43.8,0.0,3.6072997471195887,25.0,0.2,1,rest
43.9,0.0,3.607299504340485,25.0,0.2,1,rest
44.0,0.0,3.60730522802017,25.0,0.2,1,rest
44.1,0.0,3.607304023152209,25.0,0.2,1,rest
44.2,0.0,3.607321686236165,25.0,0.2,1,rest
44.3,0.0,3.607324538595228,25.0,0.2,1,rest
44.4,0.0,3.607319468808487,25.0,0.2,1,rest
44.5,0.0,3.607314361901148,25.0,0.2,1,rest
44.6,0.0,3.6073065008301697,25.0,0.2,1,rest
44.7,0.0,3.607311328044357,25.0,0.2,1,rest
44.8,0.0,3.607319630282308,25.0,0.2,1,rest
44.9,0.0,3.607332092934585,25.0,0.2,1,rest
45.0,0.0,3.607319912204301,25.0,0.2,1,rest
45.1,0.0,3.607307979090805,25.0,0.2,1,rest
45.2,0.0,3.6073111634630055,25.0,0.2,1,rest
45.3,0.0,3.607305957763237,25.0,0.2,1,rest
45.4,0.0,3.607302959226488,25.0,0.2,1,rest
45.5,0.0,3.6073089407922256,25.0,0.2,1,rest
45.6,0.0,3.60731273935917,25.0,0.2,1,rest
45.7,0.0,3.607329142228114,25.0,0.2,1,rest
45.8,0.0,3.6073113035369473,25.0,0.2,1,rest
45.9,0.0,3.6073243567929976,25.0,0.2,1,rest
46.0,0.0,3.6073284581030594,25.0,0.2,1,rest
46.1,0.0,3.607311571290951,25.0,0.2,1,rest
46.2,0.0,3.607326861201124,25.0,0.2,1,rest
46.3,0.0,3.6073179325662936,25.0,0.2,1,rest
46.4,0.0,3.6073066078592975,25.0,0.2,1,rest
46.5,0.0,3.607313435012496,25.0,0.2,1,rest
46.6,0.0,3.607311011990429,25.0,0.2,1,rest
46.7,0.0,3.6073084598219487,25.0,0.2,1,rest
46.8,0.0,3.607308795399918,25.0,0.2,1,rest
46.9,0.0,3.6073122253052823,25.0,0.2,1,rest
47.0,0.0,3.6073151250236526,25.0,0.2,1,rest
47.1,0.0,3.607301934393496,25.0,0.2,1,rest
47.2,0.0,3.607310689335628,25.0,0.2,1,rest
47.3,0.0,3.607295559662029,25.0,0.2,1,rest
47.4,0.0,3.607313391167241,25.0,0.2,1,rest
47.5,0.0,3.607317019207006,25.0,0.2,1,rest
